date,home_team,score,away_team
25-11-2023,Ath Madrid,1 - 0,Mallorca
03-12-2023,Barcelona,1 - 0,Ath Madrid
10-12-2023,Ath Madrid,02-Jan,Almeria
16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
19-12-2023,Ath Madrid,03-Mar,Getafe
23-12-2023,Ath Madrid,1 - 0,Sevilla
03-01-2024,Girona,04-Mar,Ath Madrid
22-01-2024,Granada,0 - 1,Ath Madrid
28-01-2024,Ath Madrid,2 - 0,Valencia
31-01-2024,Ath Madrid,02-Jan,Vallecano
04-02-2024,Real Madrid,01-Jan,Ath Madrid
11-02-2024,Sevilla,1 - 0,Ath Madrid
17-02-2024,Ath Madrid,5 - 0,Las Palmas
24-02-2024,Almeria,02-Feb,Ath Madrid
03-03-2024,Ath Madrid,02-Jan,Betis
09-03-2024,Cadiz,2 - 0,Ath Madrid
17-03-2024,Ath Madrid,0 - 3,Barcelona
01-04-2024,Villarreal,01-Feb,Ath Madrid
13-04-2024,Ath Madrid,03-Jan,Girona
21-04-2024,Alaves,2 - 0,Ath Madrid
27-04-2024,Ath Madrid,03-Jan,Ath Bilbao
04-05-2024,Mallorca,0 - 1,Ath Madrid
12-05-2024,Ath Madrid,1 - 0,Celta
15-05-2024,Getafe,0 - 3,Ath Madrid
19-05-2024,Ath Madrid,01-Apr,Osasuna
25-05-2024,Sociedad,0 - 2,Ath Madrid
13-08-2023,Getafe,0 - 0,Barcelona
20-08-2023,Barcelona,2 - 0,Cadiz
27-08-2023,Villarreal,03-Apr,Barcelona
03-09-2023,Osasuna,01-Feb,Barcelona
16-09-2023,Barcelona,5 - 0,Betis
23-09-2023,Barcelona,03-Feb,Celta
26-09-2023,Mallorca,02-Feb,Barcelona
29-09-2023,Barcelona,1 - 0,Sevilla
08-10-2023,Granada,02-Feb,Barcelona
22-10-2023,Barcelona,1 - 0,Ath Bilbao
28-10-2023,Barcelona,01-Feb,Real Madrid
04-11-2023,Sociedad,0 - 1,Barcelona
12-11-2023,Barcelona,02-Jan,Alaves
25-11-2023,Vallecano,01-Jan,Barcelona
03-12-2023,Barcelona,1 - 0,Ath Madrid
10-12-2023,Barcelona,02-Apr,Girona
16-12-2023,Valencia,01-Jan,Barcelona
20-12-2023,Barcelona,03-Feb,Almeria
04-01-2024,Las Palmas,01-Feb,Barcelona
21-01-2024,Betis,02-Apr,Barcelona
27-01-2024,Barcelona,03-May,Villarreal
31-01-2024,Barcelona,1 - 0,Osasuna
03-02-2024,Alaves,01-Mar,Barcelona
11-02-2024,Barcelona,03-Mar,Granada
17-02-2024,Celta,01-Feb,Barcelona
24-02-2024,Barcelona,4 - 0,Getafe
03-03-2024,Ath Bilbao,0 - 0,Barcelona
08-03-2024,Barcelona,1 - 0,Mallorca
17-03-2024,Ath Madrid,0 - 3,Barcelona
30-03-2024,Barcelona,1 - 0,Las Palmas
13-04-2024,Cadiz,0 - 1,Barcelona
21-04-2024,Real Madrid,03-Feb,Barcelona
29-04-2024,Barcelona,04-Feb,Valencia
04-05-2024,Girona,04-Feb,Barcelona
13-05-2024,Barcelona,2 - 0,Sociedad
16-05-2024,Almeria,0 - 2,Barcelona
19-05-2024,Barcelona,3 - 0,Vallecano
26-05-2024,Sevilla,01-Feb,Barcelona
13-08-2023,Villarreal,01-Feb,Betis
20-08-2023,Betis,0 - 0,Ath Madrid
27-08-2023,Ath Bilbao,04-Feb,Betis
02-09-2023,Betis,1 - 0,Vallecano
16-09-2023,Barcelona,5 - 0,Betis
24-09-2023,Betis,01-Jan,Cadiz
28-09-2023,Granada,01-Jan,Betis
01-10-2023,Betis,3 - 0,Valencia
08-10-2023,Alaves,01-Jan,Betis
21-10-2023,Getafe,01-Jan,Betis
29-10-2023,Betis,02-Jan,Osasuna
04-11-2023,Betis,2 - 0,Mallorca
12-11-2023,Sevilla,01-Jan,Betis
26-11-2023,Betis,1 - 0,Las Palmas
03-12-2023,Almeria,0 - 0,Betis
