date,home_team,score,away_team
25-11-2023,Brentford,0 - 1,Arsenal
02-12-2023,Brentford,03-Jan,Luton
06-12-2023,Brighton,02-Jan,Brentford
09-12-2023,Sheffield United,1 - 0,Brentford
17-12-2023,Brentford,01-Feb,Aston Villa
27-12-2023,Brentford,01-Apr,Wolves
30-12-2023,Crystal Palace,03-Jan,Brentford
20-01-2024,Brentford,03-Feb,Nott'm Forest
31-01-2024,Tottenham,03-Feb,Brentford
05-02-2024,Brentford,01-Mar,Man City
10-02-2024,Wolves,0 - 2,Brentford
17-02-2024,Brentford,01-Apr,Liverpool
20-02-2024,Man City,1 - 0,Brentford
26-02-2024,West Ham,04-Feb,Brentford
02-03-2024,Brentford,02-Feb,Chelsea
09-03-2024,Arsenal,02-Jan,Brentford
16-03-2024,Burnley,02-Jan,Brentford
30-03-2024,Brentford,01-Jan,Man United
03-04-2024,Brentford,0 - 0,Brighton
06-04-2024,Aston Villa,03-Mar,Brentford
13-04-2024,Brentford,2 - 0,Sheffield United
20-04-2024,Luton,01-May,Brentford
27-04-2024,Everton,1 - 0,Brentford
04-05-2024,Brentford,0 - 0,Fulham
11-05-2024,Bournemouth,01-Feb,Brentford
19-05-2024,Brentford,02-Apr,Newcastle
12-08-2023,Brighton,04-Jan,Luton
19-08-2023,Wolves,01-Apr,Brighton
26-08-2023,Brighton,01-Mar,West Ham
02-09-2023,Brighton,03-Jan,Newcastle
16-09-2023,Man United,01-Mar,Brighton
24-09-2023,Brighton,03-Jan,Bournemouth
30-09-2023,Aston Villa,06-Jan,Brighton
08-10-2023,Brighton,02-Feb,Liverpool
21-10-2023,Man City,02-Jan,Brighton
29-10-2023,Brighton,01-Jan,Fulham
04-11-2023,Everton,01-Jan,Brighton
12-11-2023,Brighton,01-Jan,Sheffield United
25-11-2023,Nott'm Forest,02-Mar,Brighton
03-12-2023,Chelsea,03-Feb,Brighton
06-12-2023,Brighton,02-Jan,Brentford
09-12-2023,Brighton,01-Jan,Burnley
17-12-2023,Arsenal,2 - 0,Brighton
21-12-2023,Crystal Palace,01-Jan,Brighton
28-12-2023,Brighton,04-Feb,Tottenham
02-01-2024,West Ham,0 - 0,Brighton
22-01-2024,Brighton,0 - 0,Wolves
30-01-2024,Luton,4 - 0,Brighton
03-02-2024,Brighton,04-Jan,Crystal Palace
10-02-2024,Tottenham,02-Jan,Brighton
18-02-2024,Sheffield United,0 - 5,Brighton
24-02-2024,Brighton,01-Jan,Everton
02-03-2024,Fulham,3 - 0,Brighton
10-03-2024,Brighton,1 - 0,Nott'm Forest
31-03-2024,Liverpool,02-Jan,Brighton
03-04-2024,Brentford,0 - 0,Brighton
06-04-2024,Brighton,0 - 3,Arsenal
13-04-2024,Burnley,01-Jan,Brighton
25-04-2024,Brighton,0 - 4,Man City
28-04-2024,Bournemouth,3 - 0,Brighton
05-05-2024,Brighton,1 - 0,Aston Villa
11-05-2024,Newcastle,01-Jan,Brighton
15-05-2024,Brighton,01-Feb,Chelsea
19-05-2024,Brighton,0 - 2,Man United
11-08-2023,Burnley,0 - 3,Man City
27-08-2023,Burnley,01-Mar,Aston Villa
02-09-2023,Burnley,02-May,Tottenham
18-09-2023,Nott'm Forest,01-Jan,Burnley
23-09-2023,Burnley,0 - 1,Man United
30-09-2023,Newcastle,2 - 0,Burnley
03-10-2023,Luton,01-Feb,Burnley
07-10-2023,Burnley,01-Apr,Chelsea
21-10-2023,Brentford,3 - 0,Burnley
28-10-2023,Bournemouth,02-Jan,Burnley
04-11-2023,Burnley,0 - 2,Crystal Palace
11-11-2023,Arsenal,03-Jan,Burnley
25-11-2023,Burnley,01-Feb,West Ham
02-12-2023,Burnley,5 - 0,Sheffield United
05-12-2023,Wolves,1 - 0,Burnley
09-12-2023,Brighton,01-Jan,Burnley
16-12-2023,Burnley,0 - 2,Everton
23-12-2023,Fulham,0 - 2,Burnley
26-12-2023,Burnley,0 - 2,Liverpool
30-12-2023,Aston Villa,03-Feb,Burnley
12-01-2024,Burnley,01-Jan,Luton
31-01-2024,Man City,03-Jan,Burnley
03-02-2024,Burnley,02-Feb,Fulham
10-02-2024,Liverpool,03-Jan,Burnley
17-02-2024,Burnley,0 - 5,Arsenal
24-02-2024,Crystal Palace,3 - 0,Burnley
03-03-2024,Burnley,0 - 2,Bournemouth
10-03-2024,West Ham,02-Feb,Burnley
16-03-2024,Burnley,02-Jan,Brentford
30-03-2024,Chelsea,02-Feb,Burnley
02-04-2024,Burnley,01-Jan,Wolves
06-04-2024,Everton,1 - 0,Burnley
13-04-2024,Burnley,01-Jan,Brighton
20-04-2024,Sheffield United,01-Apr,Burnley
27-04-2024,Man United,01-Jan,Burnley
04-05-2024,Burnley,01-Apr,Newcastle
11-05-2024,Tottenham,02-Jan,Burnley
19-05-2024,Burnley,01-Feb,Nott'm Forest
13-08-2023,Chelsea,01-Jan,Liverpool
20-08-2023,West Ham,03-Jan,Chelsea
25-08-2023,Chelsea,3 - 0,Luton
02-09-2023,Chelsea,0 - 1,Nott'm Forest
17-09-2023,Bournemouth,0 - 0,Chelsea
24-09-2023,Chelsea,0 - 1,Aston Villa
02-10-2023,Fulham,0 - 2,Chelsea
07-10-2023,Burnley,01-Apr,Chelsea
21-10-2023,Chelsea,02-Feb,Arsenal
28-10-2023,Chelsea,0 - 2,Brentford
06-11-2023,Tottenham,01-Apr,Chelsea
12-11-2023,Chelsea,04-Apr,Man City
25-11-2023,Newcastle,04-Jan,Chelsea
03-12-2023,Chelsea,03-Feb,Brighton
06-12-2023,Man United,02-Jan,Chelsea
10-12-2023,Everton,2 - 0,Chelsea
16-12-2023,Chelsea,2 - 0,Sheffield United
24-12-2023,Wolves,02-Jan,Chelsea
27-12-2023,Chelsea,02-Jan,Crystal Palace
30-12-2023,Luton,02-Mar,Chelsea
13-01-2024,Chelsea,1 - 0,Fulham
31-01-2024,Liverpool,04-Jan,Chelsea
04-02-2024,Chelsea,02-Apr,Wolves
12-02-2024,Crystal Palace,01-Mar,Chelsea
17-02-2024,Man City,01-Jan,Chelsea
02-03-2024,Brentford,02-Feb,Chelsea
11-03-2024,Chelsea,03-Feb,Newcastle
30-03-2024,Chelsea,02-Feb,Burnley
04-04-2024,Chelsea,04-Mar,Man United
07-04-2024,Sheffield United,02-Feb,Chelsea
15-04-2024,Chelsea,6 - 0,Everton
23-04-2024,Arsenal,5 - 0,Chelsea
27-04-2024,Aston Villa,02-Feb,Chelsea
02-05-2024,Chelsea,2 - 0,Tottenham
05-05-2024,Chelsea,5 - 0,West Ham
11-05-2024,Nott'm Forest,02-Mar,Chelsea
15-05-2024,Brighton,01-Feb,Chelsea
19-05-2024,Chelsea,02-Jan,Bournemouth
12-08-2023,Sheffield United,0 - 1,Crystal Palace
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Brentford,01-Jan,Crystal Palace
03-09-2023,Crystal Palace,03-Feb,Wolves
16-09-2023,Aston Villa,03-Jan,Crystal Palace
23-09-2023,Crystal Palace,0 - 0,Fulham
30-09-2023,Man United,0 - 1,Crystal Palace
07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
